PROC_ID	PROC_NAME
51	AMB REFERRAL TO ALLERGY
91	AMB REFERRAL TO GASTROENTEROLOGY
133	AMB REFERRAL TO NEUROLOGY
147	AMB REFERRAL TO OCCUPATIONAL THERAPY EVAL AND TREAT
215	AMB REFERRAL TO PHYSICAL THERAPY EVAL AND TREAT
678	BASIC METABOLIC PANEL
684	LIPID PANEL
828	HEMOGLOBIN A1C
7080	INSURANCE PAYMENT  (INSURANCE)
7084	PATIENT PAYMENT (ACCOUNT)
10226	CONTRACTUAL WRITE-OFF (INSURANCE)
13199	PR COLLECTION VENOUS BLOOD,VENIPUNCTURE
13201	PR COLLECTION CAPILLARY BLOOD SPECIMEN
18536	CHG RADEX SPINE CERVICAL 3 VIEWS OR LESS
19722	CHG BASIC METABOLIC PANEL CALCIUM TOTAL
19732	CHG LIPID PANEL
20302	PR GLYCOSYLATED HEMOGLOBIN TEST
20382	ASSAY OF LEAD
20764	CHG HEMOGLOBIN
22128	PR IMMUNIZ ADMIN,1 SINGLE/COMB VAC/TOXOID
22148	PR HEPA VACCINE 2 DOSE SCHEDULE PED/ADOLESC IM USE
22158	PR HIB PRP-OMP VACCINE 3 DOSE SCHEDULE IM USE
22178	PR RV5 VACCINE 3 DOSE SCHEDULE LIVE FOR ORAL USE
22204	PR MMR VIRUS IMMUNIZATION, SUBCUT
22228	PR DTAP-HEPB-IPV VACCINE INTRAMUSCULAR
23376	PR DEVELOPMENTAL SCREENING W/INTERP&REPRT STD FORM
23648	PR OFFICE/OUTPATIENT NEW SF MDM 15 MINUTES
23660	PR OFFICE/OUTPATIENT ESTABLISHED LOW MDM 20 MIN
23662	PR OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30 MIN
23846	PR PREVENTIVE VISIT,NEW,INFANT < 1 YR
23860	PR PREVENTIVE VISIT,EST, INFANT < 1 YR
23862	PR PREVENTIVE VISIT,EST,AGE 1-4
23868	PR PREVENTIVE VISIT,EST,18-39
23870	PR PREVENTIVE VISIT,EST,40-64
33480	XR CHEST 2 VIEWS
33520	XR CERVICAL SPINE 3 VIEWS OR LESS
33694	XR ANKLE MIN 3 VIEWS
33774	CT HEAD OR BRAIN W WO CONTRAST
33806	CT ANGIOGRAPHY NECK W WO CONTRAST
33946	MRI BRAIN WO CONTRAST
34691	SYSTEM CREDIT ADJUSTMENT
34693	SYSTEM DEBIT ADJUSTMENT
35289	H. PYLORI ANTIGEN, STOOL
38694	PR IIV3 VACC PRESERVATIVE FREE 0.5 ML DOSAGE IM USE
42500	WISDOM TOOTH EXTRACTION
64768	HEPATITIS C ANTIBODY
71166	HC RX 250 WO HCPCS
71168	HC RX 637
79022	HC ADL/SELF CARE TRN EA 15M
87356	HC OT EVAL LOW COMPLEX
87478	BORRELIA MIYAMOTOI AMP PRB
88300	PR IMMUNIZA ADMIN, IM, SINGLE VAC SARS-COV2 COVID19
88354	PR IM INJ SARS-COV2 COVID VAC,MRNA-LNP, 25 MCG/0.25 ML DOSE
96431	PR IIV4 VACC PRESRV FREE 0.5 ML DOS FOR IM USE
99974	AVADYNE PAYMENT
104664	EMDEON INSURANCE PAYMENT
107741	INFLUENZA (FLUARIX) IIV4
108289	PR SYNCHRONOUS AUDIO-VIDEO VISIT EST LOW MDM 20 MIN
118777	PR IM ADM THRU 18YR ANY RTE 1ST/ONLY COMPT VAC/TOX
118779	PR IM ADM THRU 18YR ANY RTE ADDL VAC/TOX COMPT
127252	COVID-19, EXTERNAL
136992	PR INSTRUMENT BASED OCULAR SCR BI W/ONSITE ANALYSIS
148525	PR COMPLEX E/M VISIT ADD ON
154765	PR PCV20 VACCINE FOR INTRAMUSCULAR USE
