PROC_ID	PT_FRIENDLY_NAME
51	
91	
133	
147	
215	
678	
684	
828	
7080	
7084	
10226	
13199	Insertion of needle into vein for collection of blood sample
13201	Puncture of skin for collection of blood sample
18536	X-ray of upper spine, 2-3 views
19722	Blood test, basic group of blood chemicals (Calcium, total)
19732	Blood test, lipids (cholesterol and triglycerides)
20302	Hemoglobin A1C level
20382	Lead level
20764	Blood count, hemoglobin
22128	Administration of vaccine
22148	Hepatitis A vaccine pediatric or adolescent dosage
22158	Haemophilus influenzae type b vaccine, PRP-OMP conjugate
22178	Rotavirus vaccine, pentavalent
22204	Measles, mumps, and rubella vaccine
22228	Diphtheria, tetanus, acellular pertussis, hepatitis B, and polio vaccine
23376	Developmental screening
23648	New patient office or other outpatient visit, 15-29 minutes
23660	Established patient office or other outpatient visit, 20-29 minutes
23662	Established patient office or other outpatient visit, 30-39 minutes
23846	Initial new patient preventive medicine evaluation (younger than 1 year)
23860	Established patient periodic preventive medicine examination (younger than 1 year)
23862	Established patient periodic preventive medicine examination (1-4 years)
23868	Established patient periodic preventive medicine examination (18-39 years)
23870	Established patient periodic preventive medicine examination (40-64 years)
33480	
33520	
33694	
33774	
33806	
33946	
34691	
34693	
35289	
38694	Influenza vaccine, trivalent, split virus, preservative-free, 0.5 mL dosage
42500	
64768	
71166	
71168	
79022	
87356	
87478	
88300	
88354	
96431	Influenza vaccine, quadrivalent, preservative free, 0.5 mL dosage
99974	
104664	
107741	
108289	
118777	Administration of first vaccine or toxoid component with counseling (18 years or younger)
118779	Administration of vaccine or toxoid component with counseling (18 years or younger), each additional vaccine or toxoid component
127252	
136992	Screening of eye with special instrument onsite analysis
148525	
154765	Pneumococcal conjugate vaccine, 20 valent (PCV20), for intramuscular use
