DX_ID	DX_NAME	PAT_FRIENDLY_TEXT
86021	Neck pain	
108212	Primary hypertension	
463437	Essential (primary) hypertension	
508452	Striking against or struck by other objects, sequela	
461053	Cervicalgia	
15362	Screening for diabetes mellitus	
1494821881	COVID-19	
513919	Gastro-esophageal reflux disease without esophagitis	
468251	Unspecified intracranial injury with loss of consciousness of unspecified duration, sequela	
468430	Unspecified injury of head, initial encounter	
8804	Cervicalgia	
70859	Gastroesophageal reflux disease	
462313	Postconcussional syndrome	
508450	Striking against or struck by other objects, initial encounter	
513616	Encounter for screening for lipoid disorders	
532923	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	
284018	Late effect of traumatic injury to brain	
444804	Encounter to establish care	
1177374	Traumatic injury of head, initial encounter	
406413	Allergic rhinoconjunctivitis, seasonal and perennial	
523377	Melanocytic nevi of left upper limb, including shoulder	
192858	Preventative health care	
335983	Past history of nut allergy	
462273	Unspecified visual disturbance	
513611	Encounter for screening for diabetes mellitus	
514235	Encounter for immunization	
515659	Chronic post-traumatic headache, not intractable	
212474	Nevus	
187132	Screening for hyperlipidemia	
1494821880	COVID-19	
470251	Concussion without loss of consciousness, initial encounter	
342609	Chronic post-traumatic headache, not intractable	
462638	Epigastric pain	
509172	Other cause of strike by thrown, projected or falling object, initial encounter	
514181	Encounter for general adult medical examination without abnormal findings	
432113	Pollen-food allergy	
442362	Post-concussion headache	
1236545	Lipoma of head	
463037	Nausea	
1620157	Gastroesophageal reflux disease, unspecified whether esophagitis present	
94362	Dyspepsia	
260690	Post concussion syndrome	
1181154	Gastroesophageal reflux disease, esophagitis presence not specified	
462008	Headache	
