OTL_ID	ORDER_DESC	DISPLAY_NAME
2367508	CYCLOBENZAPRINE HCL 5 MG PO TABS	
13906984	HEMOGLOBIN A1C	
3706739	LIPID PANEL	
8833973	PAXLOVID (300/100) 20 X 150 MG & 10 X 100MG PO TBPK	
6194368	MRI BRAIN WO CONTRAST	
11300179	AMB REFERRAL TO NEUROLOGY	
7834271	AMB REFERRAL TO OCCUPATIONAL THERAPY EVAL AND TREAT	
2367845	NORTRIPTYLINE HCL 10 MG PO CAPS	
6755686	BASIC METABOLIC PANEL	
13907010	BASIC METABOLIC PANEL	
13907012	LIPID PANEL	
3706850	HEPATITIS C ANTIBODY	
5890218	INFLUENZA (FLUARIX) IIV4	
7631735	AMB REFERRAL TO GASTROENTEROLOGY	
3764982	H. PYLORI ANTIGEN, STOOL	
7396231	HEMOGLOBIN A1C	
6194011	CT HEAD OR BRAIN W WO CONTRAST	
6755692	LIPID PANEL	
3709621	LISINOPRIL 10 MG PO TABS	
3644292	AMB REFERRAL TO NEUROLOGY	
7631952	AMB REFERRAL TO ALLERGY	
7631995	AMB REFERRAL TO PHYSICAL THERAPY EVAL AND TREAT	
3732299	XR CERVICAL SPINE 3 VIEWS OR LESS	
