HM_PLAN_ID	HM_PLAN_NAME
136	Pneumococcal Vaccines 0-49 yo
94	Japanese Encephalitis Vaccine
69	Zoster (Shingles) Vaccine 50+
183	Orthopoxvirus Health Maintenance
2100000007	Tetanus/Pertussis Vaccine Teen/Adult
164	COVID-19 Vaccine: Age 6 mo-64 years
66	HPV Vaccine (9-26YO)
83	IPV Vaccine
6	Cholera Vaccine
105	Annual Wellness Visit (18-49 yrs)
95	Typhoid Vaccine
149	COVID-19 Vaccine: Recipient of 1+ Dose
89	Diabetes Screening-Every 1 Yr
2100000006	HIB Vaccine
133	Influenza Vaccine
81	Hepatitis A Vaccine
96	Rabies Vaccine
163	RSV < 20 Months
82	Hepatitis B Vaccine 0-60y
159	RSV 60+ or Currently Pregnant
73	Hepatitis C Screening (DOB 1945-1965 or at High Risk)
2100000008	Meningococcal Conjugate Vaccine
97	Yellow Fever Vaccine
146	Cholesterol Screening-Every 5 Yrs
