INVOICE_ID	LINE	TX_ID
24873734	1	132295844
24873734	2	132295842
24873736	1	132295745
24873736	2	132295750
24873736	3	132295742
35267927	1	192508083
35267927	2	192508079
35267927	3	194272840
39392511	1	217014440
39392511	2	217014433
56467923	1	304446682
56467923	2	304446684
56467923	3	304446678
56467923	4	314281735
56523114	1	304446131
56523114	2	304446136
56523114	3	304446127
56523114	4	314281735
58319567	1	317165897
58660400	1	317165897
58660400	2	319922979
58660400	3	319923252
58660400	4	319923250
58660400	5	321705114
60492688	1	330455167
60492688	2	330455164
60492688	3	336699833
65200403	1	356659647
65200403	2	356659652
65200403	3	356659657
65200403	4	356659643
65226259	1	356659575
65226259	2	356659580
65226259	3	356659570
65425314	1	357218470
65425314	2	357218465
71682363	1	392248405
71682363	2	392248402
71682363	3	393312406
71682363	4	400578124
71682364	1	392248106
71682364	2	392248101
71682364	3	400578124
74663281	1	413644801
74663281	2	413644797
78539370	1	440749650
78539370	2	440749649
78539370	3	441622917
78539370	4	443299328
83775214	1	474495850
83775214	2	474495845
83859340	1	475512224
83859340	2	475512229
83859340	3	475512234
83859340	4	475512238
83859340	5	475512219
